Date,Partners,OA,Transactions,Transactions Delivered
2024-02-01,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-01,TOG,ONETIMECOD,.00000000,.00000000
2024-02-02,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-02,SAP(P2P),P2P(TIMOR),.00000000,.00000000
2024-02-04,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-04,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-05,TOG,AMAZON,.00000000,.00000000
2024-02-05,TOG,NOTICE,.00000000,.00000000
2024-02-05,NEUTRAFIX,UBER,.00000000,.00000000
2024-02-05,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-06,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-06,TOG,CASETIFY,.00000000,.00000000
2024-02-07,NEUTRAFIX,UBER,.00000000,.00000000
2024-02-07,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-07,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-07,TOG,CASETIFY,.00000000,.00000000
2024-02-08,NEUTRAFIX,UBER,.00000000,.00000000
2024-02-08,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-09,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-09,TOG,CASETIFY,.00000000,.00000000
2024-02-10,NEUTRAFIX,UBER,.00000000,.00000000
2024-02-10,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-11,SAP(P2P),P2P(NL),.00000000,.00000000
2024-02-14,CITIC,P2P(HK),.00000000,.00000000
2024-02-14,SAP(P2P),P2P(NL),.00000000,.00000000
2024-02-15,NEUTRAFIX,RESTAURANT,.00000000,.00000000
2024-02-15,SAP(P2P),X,.00000000,.00000000
2024-02-16,CITIC,P2P(HK),.00000000,.00000000
2024-02-16,NEUTRAFIX,VEREMARK,.00000000,.00000000
2024-02-17,CITIC,P2P(HK),.00000000,.00000000
2024-02-18,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-18,SAP(P2P),P2P(UK),.00000000,.00000000
2024-02-19,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-20,SAP(P2P),X,.00000000,.00000000
2024-02-21,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-21,SAP(P2P),P2P(MY),.00000000,.00000000
2024-02-22,CITIC(P2P),P2P(CN),.00000000,.00000000
2024-02-22,NEUTRAFIX,JPMCPB,.00000000,.00000000
2024-02-22,NEUTRAFIX,BOYAA,.00000000,.00000000
2024-02-22,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-23,SAP(P2P),P2P(MY),.00000000,.00000000
2024-02-24,SAP(P2P),P2P(MY),.00000000,.00000000
2024-02-25,CITIC(P2P),P2P(CN),.00000000,.00000000
2024-02-26,NEUTRAFIX,BOYAA,.00000000,.00000000
2024-02-01,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-01,SAP(P2P),P2P(MY),.00000000,.00000000
2024-02-01,TOG,CASETIFY,.00000000,.00000000
2024-02-02,NEUTRAFIX,DAHANSMS,.00000000,.00000000
2024-02-02,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-03,TOG,CASETIFY,.00000000,.00000000
2024-02-04,TOG,CASETIFY,.00000000,.00000000
2024-02-05,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-07,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-08,CITIC,P2P(HK),.00000000,.00000000
2024-02-08,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-10,CITIC,P2P(HK),.00000000,.00000000
2024-02-10,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-10,TOG,HB-2013050,.00000000,.00000000
2024-02-11,SAP(P2P),X,.00000000,.00000000
2024-02-11,CITIC,P2P(HK),.00000000,.00000000
2024-02-12,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-12,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-13,CITIC,P2P(HK),.00000000,.00000000
2024-02-13,SAP(P2P),P2P(IL),.00000000,.00000000
2024-02-13,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-13,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-14,ALIBABA,X,.00000000,.00000000
2024-02-14,NEUTRAFIX,UBER,.00000000,.00000000
2024-02-14,SAP(P2P),P2P(AU),.00000000,.00000000
2024-02-15,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-15,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-16,NEUTRAFIX,AILMSG1,.00000000,.00000000
